title,industry,era,genre,star,tier,moment,notes
Tiger Nageswara Rao,TW,2020s,action,Ravi-Teja,2,ARGUMENT,Stuartpuram bandit biopic
Tuck Jagadish,TW,2020s,drama,Nani,2,I_KNEW_IT,pandemic-OTT family film
Tuneega Tuneega,TW,2010s,romance,Sumanth-Ashwin,2,ARGUMENT,Satish Vegesna birdwatcher
V,TW,2020s,thriller,Nani,2,FLEX,cop-vs-serial-killer Amazon film
Varudu Kaavalenu,TW,2020s,romance,Naga-Shaurya,2,I_KNEW_IT,Lakshmi Sowjanya rom-com
Venky Mama,TW,2010s,drama,Naga-Chaitanya,2,ARGUMENT,Bobby uncle-nephew
Vikrant Rona,TW,2020s,action,Sudeep,2,I_KNEW_IT,Kannada-Telugu 3D
Viswasam,TW,2010s,action,Ajith,2,ARGUMENT,Tamil-Telugu
Wild Dog,TW,2020s,thriller,Nagarjuna,2,FLEX,NIA procedural
Yatra 2,TW,2020s,drama,Mammootty,2,ARGUMENT,Mahi Raghav sequel
Yeto Vellipoyindi Manasu,TW,2010s,romance,Nani,2,FLEX,Gautham Menon angst
Yogi,TW,2000s,action,Prabhas,2,I_KNEW_IT,VV Vinayak mass
Yuddham Sharanam,TW,2010s,action,Naga-Chaitanya,2,ARGUMENT,Krish Jagarlamudi
Andhrawala,TW,2000s,action,NTR-Jr,2,ARGUMENT,Puri Jagannadh flop
Autonagar Surya,TW,2010s,action,Naga-Chaitanya,2,ARGUMENT,Deva Katta flop
Balupu,TW,2010s,action,Ravi-Teja,2,ARGUMENT,VV Vinayak mass flop
Bruce Lee The Fighter,TW,2010s,action,Ram-Charan,2,ARGUMENT,Srinu Vaitla flop
Cameraman Gangatho Rambabu,TW,2010s,drama,Pawan,2,ARGUMENT,Puri cop flop
Don,TW,2000s,action,Nagarjuna,2,ARGUMENT,Lawrence mass flop
Kantri,TW,2000s,action,NTR-Jr,2,ARGUMENT,Meher Ramesh flop
Raja Saab,TW,2020s,action,Prabhas,2,ARGUMENT,upcoming horror-comedy buzz
Sainikudu,TW,2000s,action,Mahesh,2,ARGUMENT,Gunasekhar flop
Spyder,TW,2010s,thriller,Mahesh,2,ARGUMENT,Murugadoss bilingual flop
Middle Class Melodies,TW,2020s,comedy,Anand-Deverakonda,2,I_KNEW_IT,Guntur tiffin-center indie
100% Love,TW,2010s,romance,Naga-Chaitanya,2,GENERATIONAL_BRIDGE,Sukumar cousin romance
Aa Naluguru,TW,2000s,drama,Rajendra-Prasad,2,I_KNEW_IT,Chandra Sekhar Yeleti
Aagadu,TW,2010s,action,Mahesh,2,ARGUMENT,Srinu Vaitla cop misfire
Aahwanam,TW,90s,drama,Srikanth,2,GENERATIONAL_BRIDGE,K Raghavendra Rao
Aakasam Nee Haddhu Ra,TW,2020s,drama,Suriya,2,I_KNEW_IT,Soorarai Pottru Telugu
Adhurs,TW,2010s,comedy,NTR-Jr,2,ARGUMENT,VV Vinayak double-role
Andala Rakshasi,TW,2010s,romance,Rahul-Ravindran,2,I_KNEW_IT,Hanu Raghavapudi triangle
Andala Ramudu,TW,70s,comedy,ANR,2,GENERATIONAL_BRIDGE,Bapu 1973 folk
Appatlo Okadundevadu,TW,2010s,drama,Nara-Rohit,2,I_KNEW_IT,Sagar Chandra 90s cop
Awe,TW,2010s,drama,Kajal,2,I_KNEW_IT,Prasanth Varma time-anthology
Baadshah,TW,2010s,action,NTR-Jr,2,ARGUMENT,Srinu Vaitla cop-caper
Badrinath,TW,2010s,action,Allu-Arjun,2,ARGUMENT,V V Vinayak mystical cop
Bangarraju (2022),TW,2020s,drama,Nagarjuna,2,ARGUMENT,Soggade sequel
Bava Bavamaridi,TW,90s,drama,Akkineni-Nageswara-Rao,2,GENERATIONAL_BRIDGE,K Raghavendra Rao family
Bava Nachadu,TW,90s,romance,Venkatesh,2,GENERATIONAL_BRIDGE,Chandra Siddhartha
Bhale Manchi Roju,TW,2010s,comedy,Sundeep-Kishan,2,I_KNEW_IT,Sriram Adittya heist
Bheeshma,TW,2020s,romance,Nithiin,2,I_KNEW_IT,Venky Kudumula comedy
Billa,TW,2000s,action,Prabhas,2,I_KNEW_IT,Meher Ramesh remake
Bindaas,TW,2010s,action,Manchu-Manoj,2,ARGUMENT,Veeru Potla mass
Blade Babji,TW,2000s,comedy,Allari-Naresh,2,GENERATIONAL_BRIDGE,Deva Katta spoof
Body Guard,TW,2010s,action,Venkatesh,2,ARGUMENT,Atul Agnihotri remake
Bro,TW,2020s,drama,Pawan,2,ARGUMENT,Vinaya Vidheya Pawan
Bujjigaadu,TW,2000s,action,Prabhas,2,ARGUMENT,Puri Jagannadh
Bunny,TW,2000s,romance,Allu-Arjun,2,ARGUMENT,V V Vinayak college film
Businessman,TW,2010s,action,Mahesh,2,I_KNEW_IT,Puri Jagannadh mass-don
Chal Mohan Ranga,TW,2010s,romance,Nithiin,2,GENERATIONAL_BRIDGE,Krishna Chaitanya Pawan production
Chandramukhi 2,TW,2020s,horror,Raghava-Lawrence,2,ARGUMENT,Rajinikanth shoes
Chanti,TW,90s,drama,Venkatesh,2,GENERATIONAL_BRIDGE,K Raghavendra Rao orphan
Chi La Sow,TW,2010s,romance,Sushanth,2,I_KNEW_IT,Rahul Ravindran pre-marriage romance
Chukkallo Chandrudu,TW,2000s,romance,Siddharth,2,GENERATIONAL_BRIDGE,Siva Kumar triangle
Cinema Bandi,TW,2020s,comedy,Vikas-Vasishta,2,I_KNEW_IT,Praveen Kandregula auto-driver film
Custody,TW,2020s,thriller,Naga-Chaitanya,2,ARGUMENT,Venkat Prabhu bilingual
Daaku Maharaaj,TW,2020s,action,Balakrishna,2,ARGUMENT,bandit 2025
Dammu,TW,2010s,action,NTR-Jr,2,ARGUMENT,Boyapati mass
Devi Putrudu,TW,90s,drama,Venkatesh,2,GENERATIONAL_BRIDGE,Kodandarami Reddy
Deyyam,TW,90s,horror,JD-Chakravarthy,2,GENERATIONAL_BRIDGE,RGV ghost
Dhamaka,TW,2020s,action,Ravi-Teja,2,I_KNEW_IT,mistaken identity hit
Driver Ramudu,TW,70s,drama,NTR-Sr,2,GENERATIONAL_BRIDGE,Dasari Narayana Rao
Ek Niranjan,TW,2000s,action,Prabhas,2,ARGUMENT,Puri Jagannadh
Endukante Premanta,TW,2010s,romance,Ram-Pothineni,2,GENERATIONAL_BRIDGE,AS Ravikumar Chowdary
Express Raja,TW,2010s,comedy,Sharwanand,2,I_KNEW_IT,Merlapaka Gandhi caper
F3 Fun and Frustration,TW,2020s,comedy,Venkatesh,2,ARGUMENT,F2 sequel mixed
G2,TW,2020s,thriller,Adivi-Sesh,2,ARGUMENT,Goodachari sequel
Ganesh,TW,90s,drama,Venkatesh,2,GENERATIONAL_BRIDGE,Thulasi Chakravarthy
Gang Leader (2015),TW,2010s,action,Nani,2,ARGUMENT,revenge caper 2019
Gangotri,TW,2000s,action,Allu-Arjun,2,GENERATIONAL_BRIDGE,K Raghavendra Rao faction
Ghatotkachudu,TW,90s,fantasy,Ali,2,GENERATIONAL_BRIDGE,SS Rajamouli note — actually directed by Singeetam
Guru,TW,2010s,sports,Venkatesh,2,I_KNEW_IT,Irudhi Suttru Telugu
Happy,TW,2000s,romance,Allu-Arjun,2,GENERATIONAL_BRIDGE,A Karunakaran college
Heart Attack,TW,2010s,romance,Nithiin,2,ARGUMENT,Puri Jagannadh
Hello Brother,TW,90s,comedy,Nagarjuna,2,GENERATIONAL_BRIDGE,EVV kidney-swap
Hit 2,TW,2020s,thriller,Adivi-Sesh,2,I_KNEW_IT,HIT universe expansion
Hit 3,TW,2020s,thriller,Nani,2,I_KNEW_IT,HIT universe expansion
Iddarammayilatho,TW,2010s,romance,Allu-Arjun,2,ARGUMENT,Puri Jagannadh tri-love
Ishq,TW,2010s,romance,Nithiin,2,GENERATIONAL_BRIDGE,Vikram Kumar rom-com
Jaanu,TW,2020s,romance,Sharwanand,2,ARGUMENT,96 Telugu remake
Jai Simha,TW,2010s,action,Balakrishna,2,ARGUMENT,KS Ravikumar mass
Jaya Janaki Nayaka,TW,2010s,action,Bellamkonda-Sreenivas,2,ARGUMENT,Boyapati mass
Josh,TW,2000s,action,Naga-Chaitanya,2,ARGUMENT,Vasu Varma debut
Kandireega,TW,2010s,action,Ram-Pothineni,2,I_KNEW_IT,Santosh Srinivas debut
Katamarayudu,TW,2010s,action,Pawan,2,ARGUMENT,Veeram remake
Kick 2,TW,2010s,action,Ravi-Teja,2,ARGUMENT,Surender Reddy sequel
Krack,TW,2020s,action,Ravi-Teja,2,I_KNEW_IT,Gopichand cop 2021
Krishnarjuna Yuddham,TW,2010s,romance,Nani,2,ARGUMENT,double-role rom-com
Kumari 21F,TW,2010s,romance,Raj-Tarun,2,GENERATIONAL_BRIDGE,Surender Reddy bold
Lankeshwarudu,TW,80s,action,Chiranjeevi,2,GENERATIONAL_BRIDGE,A Kodandarami Reddy
Life Is Beautiful,TW,2010s,drama,Sekhar-Kammula,2,I_KNEW_IT,Shekhar Kammula coming-of-age
Love Story,TW,2020s,romance,Naga-Chaitanya,2,I_KNEW_IT,Sekhar Kammula 2021
MCA Middle Class Abbayi,TW,2010s,drama,Nani,2,GENERATIONAL_BRIDGE,sister-protector mass
Maestro,TW,2020s,thriller,Nithiin,2,ARGUMENT,Andhadhun Telugu
Majnu,TW,2010s,romance,Nani,2,GENERATIONAL_BRIDGE,Nani-Anu Emmanuel rom-com
Malli Malli Idi Rani Roju,TW,2010s,romance,Sharwanand,2,I_KNEW_IT,Kranthi Madhav diary romance
Malliswari,TW,2000s,romance,Venkatesh,2,GENERATIONAL_BRIDGE,K Vijaya Bhaskar rom-com
Money Money,TW,90s,comedy,JD-Chakravarthy,2,GENERATIONAL_BRIDGE,sequel
Mr Perfect,TW,2010s,romance,Prabhas,2,GENERATIONAL_BRIDGE,Dasarath rom-com
Muddula Mogudu,TW,90s,drama,Balakrishna,2,GENERATIONAL_BRIDGE,Muthyala Subbaiah
Mutha Mestri,TW,90s,action,Chiranjeevi,2,GENERATIONAL_BRIDGE,ARK Reddy blockbuster
Muthyala Muggu,TW,70s,drama,Srividya,2,GENERATIONAL_BRIDGE,Bapu classic
Naa Peru Surya,TW,2010s,action,Allu-Arjun,2,ARGUMENT,Vakkantham directorial debut
Naa Saami Ranga,TW,2020s,drama,Nagarjuna,2,ARGUMENT,Porinju Mariam Jose remake
Narappa,TW,2020s,drama,Venkatesh,2,I_KNEW_IT,Asuran Telugu
Narasimhudu,TW,2000s,action,NTR-Jr,2,ARGUMENT,B Gopal faction
Nuvvu Leka Nenu Lenu,TW,2000s,romance,Tarun,2,GENERATIONAL_BRIDGE,Chandra Sekhar Yeleti
Okka Kshanam,TW,2010s,thriller,Allu-Sirish,2,I_KNEW_IT,VI Anand mirror-life
Oosaravelli,TW,2010s,action,NTR-Jr,2,ARGUMENT,Surender Reddy cop
Orange,TW,2010s,romance,Ram-Charan,2,ARGUMENT,Bhaskar commitment-phobe
Ori Devuda,TW,2020s,comedy,Vishwak-Sen,2,I_KNEW_IT,Oh My Kadavule remake
Osey Ramulamma,TW,90s,drama,Vijayashanti,2,GENERATIONAL_BRIDGE,Dasari Dalit
Oye,TW,2000s,romance,Siddharth,2,GENERATIONAL_BRIDGE,Anish Kuruvilla neighborhood
Palasa 1978,TW,2020s,drama,Rakshit,2,I_KNEW_IT,Karuna Kumar caste revenge
Pandava Vanavasam,TW,60s,drama,NTR-Sr,2,GENERATIONAL_BRIDGE,Kamalakara mythological
Pasivadi Pranam,TW,80s,drama,Chiranjeevi,2,GENERATIONAL_BRIDGE,A Kodandarami Reddy
Pavitra Prema,TW,90s,drama,Balakrishna,2,GENERATIONAL_BRIDGE,Muthyala Subbaiah
Pelli Chesi Choodu,TW,50s,comedy,NTR-Sr,2,GENERATIONAL_BRIDGE,LV Prasad
Pelli Sandadi,TW,90s,romance,Srikanth,2,GENERATIONAL_BRIDGE,K Raghavendra Rao 1996
Phalaknuma Das,TW,2010s,action,Vishwak-Sen,2,I_KNEW_IT,Angamaly Diaries Telugu
Pournami,TW,2000s,romance,Prabhas,2,GENERATIONAL_BRIDGE,Prabhu Deva
Power,TW,2010s,action,Ravi-Teja,2,GENERATIONAL_BRIDGE,KS Ravindra mass
Prathinidhi,TW,2010s,thriller,Nara-Rohit,2,I_KNEW_IT,Aneel Kanneganti media thriller
Pratighatana (1985),TW,80s,drama,Vijayashanti,2,GENERATIONAL_BRIDGE,T Krishna social
Prema,TW,80s,romance,Venkatesh,2,GENERATIONAL_BRIDGE,Suresh Krissh
Premikudu,TW,90s,romance,Prabhu-Deva,2,GENERATIONAL_BRIDGE,Shankar Kaadhalan Telugu
Premikula Roju,TW,90s,romance,Kunal,2,GENERATIONAL_BRIDGE,AM Rathnam
Racha,TW,2010s,action,Ram-Charan,2,ARGUMENT,Sampath Nandi mass
Raja Kumarudu,TW,90s,drama,Mahesh,2,GENERATIONAL_BRIDGE,Mahesh adult debut
Raja Raja Chora,TW,2020s,comedy,Sree-Vishnu,2,I_KNEW_IT,Hasith Goli photocopier conman
Raja The Great,TW,2010s,action,Ravi-Teja,2,ARGUMENT,Anil Ravipudi blind-man
Rajanna,TW,2010s,drama,Nagarjuna,2,GENERATIONAL_BRIDGE,Vijayendra Prasad period
Raju Gari Gadhi 2,TW,2010s,horror,Nagarjuna,2,GENERATIONAL_BRIDGE,Omkar horror-comedy
Red,TW,2020s,thriller,Ram-Pothineni,2,ARGUMENT,Thadam remake
Rikshavodu,TW,90s,drama,Chiranjeevi,2,GENERATIONAL_BRIDGE,S V Krishna Reddy
Rowdy Alludu,TW,80s,action,Chiranjeevi,2,GENERATIONAL_BRIDGE,Kodi Ramakrishna triple
Rowdy Inspector,TW,90s,action,Balakrishna,2,GENERATIONAL_BRIDGE,B Gopal mass
Rudra Veena,TW,80s,drama,Chiranjeevi,2,GENERATIONAL_BRIDGE,K Balachander music
Ruler,TW,2010s,action,Balakrishna,2,ARGUMENT,KS Ravikumar mass
Run Raja Run,TW,2010s,comedy,Sharwanand,2,I_KNEW_IT,Sujeeth rom-com debut
Saaho,TW,2010s,action,Prabhas,2,ARGUMENT,Sujeeth pan-India
Sammohanam,TW,2010s,romance,Sudheer-Babu,2,I_KNEW_IT,Mohana Krishna Indraganti meta-romance
Sankeerthana,TW,80s,romance,Naresh,2,GENERATIONAL_BRIDGE,Dasari
Sankranti,TW,2000s,drama,Venkatesh,2,GENERATIONAL_BRIDGE,Muthyala Subbaiah
Saptapadi,TW,80s,drama,Somayajulu,2,GENERATIONAL_BRIDGE,K Viswanath caste
Saripodhaa Sanivaaram,TW,2020s,action,Nani,2,I_KNEW_IT,Saturday rage 2024
Sarkaru Vaari Paata,TW,2020s,action,Mahesh,2,ARGUMENT,banks-and-mass misfire
Sarocharu,TW,2010s,action,Ravi-Teja,2,ARGUMENT,Parasuram two-girl
Sindhooram,TW,90s,drama,Sanjay-Bhargav,2,I_KNEW_IT,Krishna Vamsi naxal
Sir / Vaathi,TW,2020s,drama,Dhanush,2,I_KNEW_IT,teacher biopic bilingual
Sirivennela,TW,80s,drama,Sarvadaman-Banerjee,2,GENERATIONAL_BRIDGE,K Viswanath blind-flautist
Sita,TW,2010s,drama,Bellamkonda-Sreenivas,2,ARGUMENT,Teja dual-personality
Sita Kalyanam,TW,70s,drama,Ravi-Kumar,2,GENERATIONAL_BRIDGE,Bapu Ramayana
Sri Krishna Tulabharam,TW,60s,drama,NTR-Sr,2,GENERATIONAL_BRIDGE,Kamalakara
Srivariki Premalekha,TW,80s,romance,Naresh,2,GENERATIONAL_BRIDGE,Jandhyala cult
Sruthilayalu,TW,80s,drama,Sumanth,2,GENERATIONAL_BRIDGE,K Viswanath
Student No 1,TW,2000s,drama,NTR-Jr,2,GENERATIONAL_BRIDGE,Rajamouli debut
Subhalekha,TW,80s,drama,Chiranjeevi,2,GENERATIONAL_BRIDGE,K Viswanath dowry
Super,TW,2000s,action,Nagarjuna,2,GENERATIONAL_BRIDGE,Puri Jagannadh cop
Swarnakamalam,TW,80s,drama,Bhanupriya,2,GENERATIONAL_BRIDGE,K Viswanath classical dance
Swayamkrushi,TW,80s,drama,Chiranjeevi,2,GENERATIONAL_BRIDGE,K Viswanath cobbler
Taxiwaala,TW,2010s,thriller,Vijay-Deverakonda,2,I_KNEW_IT,haunted cab 2018
Teenmaar,TW,2010s,action,Pawan,2,ARGUMENT,Love Aaj Kal remake
Thandel,TW,2020s,drama,Naga-Chaitanya,2,I_KNEW_IT,fisherman Pakistan jail 2025
Uyyala Jampala (2015),TW,2010s,romance,Raj-Tarun,2,I_KNEW_IT,Virinchi Varma hit
Veera,TW,2010s,action,Ravi-Teja,2,ARGUMENT,Ramesh Varma
Vetagadu,TW,70s,action,NTR-Sr,2,GENERATIONAL_BRIDGE,K Raghavendra Rao hunter
Vunnadi Okate Zindagi,TW,2010s,drama,Ram-Pothineni,2,I_KNEW_IT,Kishore Tirumala nostalgia
Yamagola Malli Modalaindi,TW,2000s,fantasy,Mohan-Babu,2,ARGUMENT,original sequel
Yashoda,TW,2020s,thriller,Samantha,2,I_KNEW_IT,surrogate black-market
Yathra,TW,2010s,drama,Mammootty,2,I_KNEW_IT,Mahi Raghav YSR biopic
Jailer,TW,2020s,action,Rajinikanth,1,I_KNEW_IT,Tamil-Telugu
KGF Chapter 1,TW,2010s,action,Yash,1,I_KNEW_IT,Kannada-Telugu pan-India
KGF Chapter 2,TW,2020s,action,Yash,1,I_KNEW_IT,Kannada-Telugu pan-India
Kantara,TW,2020s,drama,Rishab-Shetty,1,I_KNEW_IT,Kannada-Telugu pan-India
Vikram,TW,2020s,action,Kamal-Haasan,1,I_KNEW_IT,Tamil-Telugu dub
Guntur Kaaram,TW,2020s,action,Mahesh,1,ARGUMENT,Trivikram flop debate
Aadi,TW,2000s,action,NTR-Jr,1,GENERATIONAL_BRIDGE,VV Vinayak breakout
Adavi Ramudu (1975),TW,70s,action,NTR-Sr,1,GENERATIONAL_BRIDGE,K Raghavendra Rao 1977
Aditya 369,TW,90s,sci-fi,Balakrishna,1,GENERATIONAL_BRIDGE,Singeetam time-machine
Agent Sai Srinivasa Athreya,TW,2010s,thriller,Naveen-Polishetty,1,I_KNEW_IT,Nellore detective hit
Aha Naa Pellanta,TW,80s,comedy,Rajendra-Prasad,1,GENERATIONAL_BRIDGE,Jandhyala
Akhanda,TW,2020s,action,Balakrishna,1,I_KNEW_IT,Aghora double role
Ala Modalaindi,TW,2010s,romance,Nani,1,GENERATIONAL_BRIDGE,Nani debut as lead
Allari Alludu,TW,90s,comedy,Nagarjuna,1,GENERATIONAL_BRIDGE,EVV Satyanarayana comedy
Anand,TW,2000s,romance,Raja,1,I_KNEW_IT,Sekhar Kammula rom-com
Annamayya,TW,90s,drama,Nagarjuna,1,I_KNEW_IT,Raghavendra Rao saint biopic
Annayya,TW,2000s,drama,Chiranjeevi,1,GENERATIONAL_BRIDGE,Muthu Telugu remake
Aravinda Sametha Veera Raghava,TW,2010s,action,NTR-Jr,1,I_KNEW_IT,Trivikram faction
Arundhati,TW,2000s,horror,Anushka,1,I_KNEW_IT,Kodi Ramakrishna queen-ghost
Arya,TW,2000s,romance,Allu-Arjun,1,I_KNEW_IT,Sukumar breakout
Arya 2,TW,2000s,romance,Allu-Arjun,1,I_KNEW_IT,Sukumar toxic-love
Badri,TW,2000s,action,Pawan,1,GENERATIONAL_BRIDGE,first Pawan mass hit
Bhaagamathie,TW,2010s,horror,Anushka,1,I_KNEW_IT,G Ashok haunted-politician
Bhagavanth Kesari,TW,2020s,action,Balakrishna,1,I_KNEW_IT,Anil Ravipudi mass
Bhairava Dweepam,TW,90s,fantasy,Balakrishna,1,GENERATIONAL_BRIDGE,Jandhyala fantasy classic
Bhale Bhale Magadivoy,TW,2010s,comedy,Nani,1,I_KNEW_IT,forgetful groom rom-com
Bobbili Raja,TW,90s,drama,Venkatesh,1,GENERATIONAL_BRIDGE,B Gopal faction
Chirutha,TW,2000s,action,Ram-Charan,1,GENERATIONAL_BRIDGE,Puri Jagannadh debut
Chitram,TW,2000s,romance,Uday-Kiran,1,GENERATIONAL_BRIDGE,Teja music phenom
Daana Veera Soora Karna,TW,70s,drama,NTR-Sr,1,GENERATIONAL_BRIDGE,triple-role classic
Darling,TW,2010s,romance,Prabhas,1,I_KNEW_IT,Karunakaran rom-com
Dear Comrade,TW,2010s,drama,Vijay-Deverakonda,1,I_KNEW_IT,student union romance
Devadasu (1955),TW,50s,drama,ANR,1,GENERATIONAL_BRIDGE,1953 Vedantam Raghavaiah
Devadasu (2005),TW,2000s,drama,Ram,1,I_KNEW_IT,YVS Chowdary modern Devadasu
Devara Part 1,TW,2020s,action,NTR-Jr,1,I_KNEW_IT,coastal mass 2024
Dhruva,TW,2010s,thriller,Ram-Charan,1,I_KNEW_IT,Thani Oruvan remake
Dil,TW,2000s,romance,Nithiin,1,I_KNEW_IT,VV Vinayak father-in-law rom-com
Drushyam,TW,2010s,thriller,Venkatesh,1,I_KNEW_IT,Drishyam Telugu
Drushyam 2,TW,2020s,thriller,Venkatesh,1,ARGUMENT,sequel debate
Eega,TW,2010s,fantasy,Nani,1,I_KNEW_IT,Rajamouli fly-reincarnation
Ekkadiki Pothavu Chinnavada,TW,2010s,fantasy,Nikhil,1,I_KNEW_IT,three-soul-reincarnation
F2 Fun and Frustration,TW,2010s,comedy,Venkatesh,1,I_KNEW_IT,Anil Ravipudi husband-dom
Gabbar Singh,TW,2010s,action,Pawan,1,I_KNEW_IT,Dabangg Telugu remake
Game Changer,TW,2020s,action,Ram-Charan,1,ARGUMENT,Shankar delayed circus
Gamyam,TW,2000s,drama,Allari-Naresh,1,I_KNEW_IT,Krish road-drama
Gang Leader (1995),TW,90s,action,Chiranjeevi,1,GENERATIONAL_BRIDGE,Vijaya Bapineedu blockbuster
Gautamiputra Satakarni,TW,2010s,drama,Balakrishna,1,I_KNEW_IT,Krish Satavahana epic
Geethanjali,TW,80s,romance,Nagarjuna,1,GENERATIONAL_BRIDGE,Mani Ratnam illness romance
Gharana Mogudu,TW,90s,comedy,Chiranjeevi,1,GENERATIONAL_BRIDGE,K Raghavendra Rao 1992
Ghazi,TW,2010s,war,Rana-Daggubati,1,I_KNEW_IT,Sankalp Reddy submarine
Godavari,TW,2000s,romance,Sumanth,1,I_KNEW_IT,Sekhar Kammula boat romance
Golimaar,TW,2010s,action,Gopichand,1,I_KNEW_IT,Puri Jagannadh encounter cop
Goodachari,TW,2010s,thriller,Adivi-Sesh,1,I_KNEW_IT,Telugu spy thriller
Gopala Gopala,TW,2010s,comedy,Pawan,1,I_KNEW_IT,OMG Telugu remake
Govindudu Andarivadele,TW,2010s,drama,Ram-Charan,1,I_KNEW_IT,Krishna Vamsi family
HIT The First Case,TW,2020s,thriller,Vishwak-Sen,1,I_KNEW_IT,Sailesh Kolanu procedural
HanuMan,TW,2020s,action,Teja-Sajja,1,I_KNEW_IT,low-budget superhero hit
Hi Nanna,TW,2020s,drama,Nani,1,I_KNEW_IT,father-daughter sob hit
Indra,TW,2000s,action,Chiranjeevi,1,I_KNEW_IT,B Gopal Ganga factionist
Ismart Shankar,TW,2010s,action,Ram-Pothineni,1,I_KNEW_IT,Puri Jagannadh trippy mass
Jagadeka Veerudu Athiloka Sundari,TW,90s,fantasy,Chiranjeevi,1,GENERATIONAL_BRIDGE,Raghavendra Rao urvasi
Jai Lava Kusa,TW,2010s,action,NTR-Jr,1,I_KNEW_IT,Bobby triple-role
Janatha Garage,TW,2010s,action,NTR-Jr,1,I_KNEW_IT,Koratala activism
Jathi Ratnalu,TW,2020s,comedy,Naveen-Polishetty,1,I_KNEW_IT,Jogulamba Gadwal losers
Kalisundam Raa,TW,2000s,drama,Venkatesh,1,GENERATIONAL_BRIDGE,K Raghavendra family hit
Kalki 2898 AD,TW,2020s,sci-fi,Prabhas,1,I_KNEW_IT,mythic sci-fi spectacle
Kanche,TW,2010s,drama,Varun-Tej,1,I_KNEW_IT,Krish WWII caste
Kartavyam,TW,90s,action,Vijayashanti,1,GENERATIONAL_BRIDGE,A Mohan Gandhi lady-cop
Karthikeya,TW,2010s,thriller,Nikhil,1,I_KNEW_IT,Chandoo Mondeti snake temple
Karthikeya 2,TW,2020s,thriller,Nikhil,1,I_KNEW_IT,Krishna bracelet mystery
Khadgam,TW,2000s,action,Srikanth,1,I_KNEW_IT,Krishna Vamsi post-Godhra ensemble
Khaidi,TW,80s,action,Chiranjeevi,1,GENERATIONAL_BRIDGE,A Kodandarami Reddy star-making
Kotha Bangaru Lokam,TW,2000s,romance,Varun-Sandesh,1,I_KNEW_IT,Srikanth Addala small-town
Kshanam,TW,2010s,thriller,Adivi-Sesh,1,I_KNEW_IT,Ravikanth Perepu missing-child
Ladies Tailor,TW,80s,comedy,Rajendra-Prasad,1,GENERATIONAL_BRIDGE,Vamsi iconic
Lava Kusa,TW,60s,drama,NTR-Sr,1,GENERATIONAL_BRIDGE,CS Rao Ramayana
Legend,TW,2010s,action,Balakrishna,1,I_KNEW_IT,Boyapati factionist
Majili,TW,2010s,romance,Naga-Chaitanya,1,I_KNEW_IT,Shiva Nirvana Sam-Chaitanya
Major,TW,2020s,drama,Adivi-Sesh,1,GENERATIONAL_BRIDGE,26/11 Sandeep Unnikrishnan
Mallesham,TW,2010s,drama,Priyadarshi,1,I_KNEW_IT,Asani weaver biopic
Manasantha Nuvve,TW,2000s,romance,Uday-Kiran,1,GENERATIONAL_BRIDGE,VN Aditya hit 2001
Mass,TW,2000s,action,Nagarjuna,1,I_KNEW_IT,Raghavan Lawrence mass
Master (1995),TW,90s,action,Chiranjeevi,1,GENERATIONAL_BRIDGE,Suresh Krissh cop
Mayabazar,TW,50s,fantasy,NTR-Sr,1,GENERATIONAL_BRIDGE,KV Reddy all-time classic
Mayuri,TW,80s,drama,Sudha-Chandran,1,GENERATIONAL_BRIDGE,Singeetam dancer biopic
Missamma,TW,50s,comedy,NTR-Sr,1,GENERATIONAL_BRIDGE,LV Prasad classic
Money,TW,90s,comedy,JD-Chakravarthy,1,I_KNEW_IT,Siva Nageswara Rao cult
Murari,TW,2000s,drama,Mahesh,1,GENERATIONAL_BRIDGE,family curse epic
NTR Kathanayakudu,TW,2010s,drama,Balakrishna,1,ARGUMENT,Krish biopic part 1
NTR Mahanayakudu,TW,2010s,drama,Balakrishna,1,ARGUMENT,Krish biopic part 2
Nannaku Prematho,TW,2010s,thriller,NTR-Jr,1,I_KNEW_IT,Sukumar father-avenging
Narasimha Naidu,TW,2000s,action,Balakrishna,1,GENERATIONAL_BRIDGE,B Gopal factionist blockbuster
Narthanasala,TW,60s,drama,NTR-Sr,1,GENERATIONAL_BRIDGE,Kamalakara Mahabharata
Nayak,TW,2010s,action,Ram-Charan,1,GENERATIONAL_BRIDGE,VV Vinayak dual-role
Nene Raju Nene Mantri,TW,2010s,drama,Rana-Daggubati,1,ARGUMENT,Teja political
Ninnu Kori,TW,2010s,romance,Nani,1,I_KNEW_IT,triangle drama 2017
Nuvvu Nenu,TW,2000s,romance,Uday-Kiran,1,GENERATIONAL_BRIDGE,Teja breakout rom-com
Oh Baby,TW,2010s,comedy,Samantha,1,I_KNEW_IT,70-to-25 magical comedy
Oopiri,TW,2010s,drama,Nagarjuna,1,I_KNEW_IT,Intouchables Telugu
Patala Bhairavi,TW,50s,fantasy,NTR-Sr,1,GENERATIONAL_BRIDGE,KV Reddy magical
Preminchukundam Raa,TW,90s,romance,Venkatesh,1,GENERATIONAL_BRIDGE,Jayant Paranji rom-com
Pushpa 2 The Rule,TW,2020s,action,Allu-Arjun,1,ARGUMENT,sequel debate vs Rise
Pushpaka Vimanam,TW,80s,comedy,Kamal-Haasan,1,GENERATIONAL_BRIDGE,Singeetam silent film
